Enterprise Name,Query Type,Query,Supporting Facts
ZX Bank,Descriptive,What awards did ZX Bank Ltd. win in 2023?,"[{""filename"": ""Awards & Recognitions.md"", ""text"": ""Best Digital Transformation Bank \u2013 South Asia (2023): Recognized for pioneering digital onboarding, robust mobile app (ZX Bank Asia), and adoption of AI chatbot \""Zia\"" across all operating countries.""}, {""filename"": ""Awards & Recognitions.md"", ""text"": ""Financial Inclusion Leadership Award \u2013 Bangladesh (2023): Celebrated for expanding access to digital banking, microfinance, and financial literacy in rural and underserved regions.""}, {""filename"": ""Awards & Recognitions.md"", ""text"": ""Best Women\u2019s Banking Initiative \u2013 South Asia (2023): Recognized for specialized micro-loan programs and financial empowerment projects for women-led enterprises.""}, {""filename"": ""Awards & Recognitions.md"", ""text"": ""Top NRI Services Provider \u2013 Bhutan & Nepal Corridor (2023): Appreciated for seamless, fast remittance corridors and superior NRI account services connecting families across borders.""}]"
ZX Bank,Analytical,Why was ZX Bank recognized for its digital initiatives in 2023?,"[{""filename"": ""Awards & Recognitions.md"", ""text"": ""Best Digital Transformation Bank \u2013 South Asia (2023): Recognized for pioneering digital onboarding, robust mobile app (ZX Bank Asia), and adoption of AI chatbot \""Zia\"" across all operating countries.""}]"
ZX Bank,Comparative,How does ZX Bank's 2023 recognition in Bangladesh differ from that in South Asia?,"[{""filename"": ""Awards & Recognitions.md"", ""text"": ""Financial Inclusion Leadership Award \u2013 Bangladesh (2023): Celebrated for expanding access to digital banking, microfinance, and financial literacy in rural and underserved regions.""}, {""filename"": ""Awards & Recognitions.md"", ""text"": ""Best Digital Transformation Bank \u2013 South Asia (2023): Recognized for pioneering digital onboarding, robust mobile app (ZX Bank Asia), and adoption of AI chatbot \""Zia\"" across all operating countries.""}]"
ZX Bank,Boolean,Is ZX Bank involved in green financing initiatives?,"[{""filename"": ""Awards & Recognitions.md"", ""text"": ""Excellence in Green Finance Award (2022): Honored for innovative green financing projects supporting Bhutan\u2019s hydropower and Nepal\u2019s solar ventures, advancing ESG goals in banking.""}]"
ZX Bank,Temporal,When did ZX Bank receive recognition for SME banking in Sri Lanka?,"[{""filename"": ""Awards & Recognitions.md"", ""text"": ""Outstanding SME Bank \u2013 Sri Lanka (2022, 2023): Commended for tailored SME lending solutions and remittance services benefiting entrepreneurs and small businesses.""}]"
ZX Bank,Comparative,How do ZX Bank's Business Loans cater to different customer segments?,"[{""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""ZX Bank supports entrepreneurs, small businesses, and corporates across South Asia with a comprehensive suite of Business Loans designed for growth, innovation, and resilience.""}, {""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""Customized Solutions: Products tailored for SMEs, corporates, exporters, and women-led businesses.""}]"
ZX Bank,Analytical,Why is digital banking important for ZX Bank's Business Loan customers?,"[{""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""Digital Banking: Manage your loan through the ZX Bank Asia app or NetBanking.""}, {""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""AI Finance Assistant \""Zia\"": Instantly check eligibility, required documents, and estimated EMIs via the ZX Bank Asia app.""}]"
ZX Bank,Procedural,How can I apply for a business loan at ZX Bank?,"[{""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""Visit: Any ZX Bank branch in your country, or apply online via ZX Bank Asia App.""}, {""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""Eligibility: Proprietorships, Partnerships, Private/Public Limited Companies, Start-ups, Women Entrepreneurs.""}, {""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""Documents: Business proof, Financial statements, KYC documents, Project report.""}]"
ZX Bank,Boolean,Does ZX Bank offer loans specifically for women entrepreneurs?,"[{""filename"": ""ZX Bank \u2013 Business Loans.md"", ""text"": ""Women Empowerment Loans: Tailored loans for women entrepreneurs and women-led businesses across South Asia.""}]"
ZX Bank,Procedural,How do I apply for a cheque book via the ZX Bank Mobile App?,"[{""filename"": ""Apply for a Cheque Book.md"", ""text"": ""1. **Login:** Open the **ZX Bank Asia** app and log in using your credentials or biometric authentication.\n2. **Navigate:** Go to **Services** or **Request Services** on the home menu.\n3. **Select:** Tap on **Cheque Book Request**.\n4. **Choose Account:** Select the account for which you need the cheque book.\n5. **Confirm Details:** Enter delivery address (if different from registered address).\n6. **Submit:** Review and submit your request. \n You\u2019ll receive a confirmation SMS/email with the estimated delivery time.""}]"
ZX Bank,Procedural,What steps should I follow to apply for a cheque book through NetBanking?,"[{""filename"": ""Apply for a Cheque Book.md"", ""text"": ""1. **Log in** to [ZX Bank NetBanking](https://www.zxbank.asia).\n2. Go to **Services > Cheque Book Request**.\n3. Select your account and number of leaves required.\n4. Verify your address and submit the request.\n5. Track status online under **Request History**.""}]"
ZX Bank,Procedural,How can I apply for a cheque book at a ZX Bank branch?,"[{""filename"": ""Apply for a Cheque Book.md"", ""text"": ""1. Visit your nearest **ZX Bank branch**.\n2. Fill out the **Cheque Book Request Form** at the counter.\n3. Submit it to the bank officer along with valid ID, if required.\n4. Collect acknowledgment receipt with expected dispatch date.""}]"
ZX Bank,Descriptive,What are the different ways to apply for a cheque book at ZX Bank?,"[{""filename"": ""Apply for a Cheque Book.md"", ""text"": ""Applying for a cheque book from ZX Bank is simple and can be done through multiple convenient channels: Mobile App, NetBanking, At Branch, ZX Bank ATM, and Customer Care. \n1. **Mobile App:** Log in, navigate to Services, tap Cheque Book Request, select account, confirm details, and submit.\n2. **NetBanking:** Log in, go to Services > Cheque Book Request, select account, verify address, and submit.\n3. **At Branch:** Visit branch, fill out form, submit with ID, collect receipt.\n4. **ATM:** Insert card, enter PIN, go to Services, select account, confirm request.\n5. **Customer Care:** Call helpline, verify details, place request, note reference number.""}]"
ZX Bank,Analytical,Why might someone prefer using the ZX Bank mobile app to request a cheque book?,"[{""filename"": ""Apply for a Cheque Book.md"", ""text"": ""Using the ZX Bank mobile app offers several conveniences: it allows users to request a cheque book from anywhere without needing to visit a branch, provides secure login with credentials or biometric authentication, and lets users receive instant confirmation with estimated delivery time. Additionally, it enables easy tracking of the request status directly within the app.""}]"
ZX Bank,Descriptive,What is UPI and how does ZX Bank Asia support it?,"[{""filename"": ""(UPI) \u2013 ZX Bank Asia.md"", ""text"": ""Unified Payments Interface (UPI) is a real-time payment system that enables instant money transfer between bank accounts using your mobile device. ZX Bank Asia supports UPI seamlessly through its mobile app for fast, secure, and convenient transactions.""}, {""filename"": ""(UPI) \u2013 ZX Bank Asia.md"", ""text"": ""Features of UPI include instant, 24/7 money transfers via mobile devices, a single app for accessing multiple bank accounts, and easy transactions using mobile numbers, Virtual Payment Address (VPA), or QR codes. It is used for fund transfer, bill payments, merchant payments, and more.""}]"
ZX Bank,Procedural,How can I activate UPI with ZX Bank?,"[{""filename"": ""(UPI) \u2013 ZX Bank Asia.md"", ""text"": ""1. Download the ZX Bank Asia App available for Android and iOS.\n2. Login/Register using the mobile number registered with ZX Bank and complete e-KYC if not already done.\n3. Go to the UPI Section by tapping the 'UPI' icon or navigate via the home screen.\n4. Create or Link a UPI ID (VPA), choose/set your UPI PIN for secure transactions.\n5. Link your ZX Bank account by selecting the account to operate UPI with.\n6. Set/Reset UPI PIN by authenticating with debit card details and setting a 4/6-digit UPI PIN.\n7. You're ready to start transacting, paying bills, transferring funds, and scanning UPI QR codes.""}]"
ZX Bank,Boolean,Is UPI available for ZX Bank account holders outside India?,"[{""filename"": ""(UPI) \u2013 ZX Bank Asia.md"", ""text"": ""UPI services are currently available in India for ZX Bank account holders. For cross-border payments/remittances, dedicated remittance options in the app must be used.""}]"
